Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IDACI - Average rank ,IDACI - Rank of average rank ,IDACI - Average score ,IDACI - Rank of average score ,IDACI - Proportion  of LSOAs in most deprived 10% nationally ,IDACI - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,23480.37,20,0.283,8,0.4310,3
E06000002,Middlesbrough,25026.00,7,0.327,1,0.4767,1
E06000003,Redcar and Cleveland,21868.78,36,0.256,18,0.2955,13
E06000004,Stockton-on-Tees,19164.60,67,0.209,48,0.1917,30
E06000005,Darlington,19072.53,69,0.203,55,0.2154,25
E06000006,Halton,21505.22,39,0.239,25,0.2532,19
E06000007,Warrington,13861.60,121,0.132,112,0.0472,102
E06000008,Blackburn with Darwen,21937.90,34,0.228,32,0.1868,31
E06000009,Blackpool,25209.46,6,0.307,2,0.3404,8
E06000010,"Kingston upon Hull, City of",24636.64,13,0.298,5,0.3795,5
E06000011,East Riding of Yorkshire,12645.25,129,0.118,126,0.0476,101
E06000012,North East Lincolnshire,22479.12,27,0.274,11,0.3208,10
E06000013,North Lincolnshire,19056.13,71,0.183,72,0.0990,66
E06000014,York,10884.35,141,0.100,139,0.0167,123
E06000015,Derby,20130.76,54,0.211,47,0.1457,47
E06000016,Leicester,23368.32,22,0.242,22,0.1927,29
E06000017,Rutland,8809.54,146,0.072,146,0.0000,137
E06000018,Nottingham,26100.16,2,0.298,6,0.3791,6
E06000019,"Herefordshire, County of",14627.00,111,0.124,120,0.0000,137
E06000020,Telford and Wrekin,20691.90,50,0.213,45,0.1481,44
E06000021,Stoke-on-Trent,23720.91,17,0.257,17,0.2516,21
E06000022,Bath and North East Somerset,11741.47,136,0.104,134,0.0174,122
E06000023,"Bristol, City of",19568.47,63,0.206,52,0.1711,35
E06000024,North Somerset,13130.93,125,0.124,119,0.0667,87
E06000025,South Gloucestershire,12172.81,132,0.104,135,0.0000,137
E06000026,Plymouth,19825.85,59,0.203,57,0.1304,51
E06000027,Torbay,22163.12,30,0.219,40,0.1461,46
E06000030,Swindon,15476.51,102,0.149,98,0.0833,77
E06000031,Peterborough,21384.17,41,0.208,50,0.1161,56
E06000032,Luton,21059.15,46,0.196,62,0.0909,74
E06000033,Southend-on-Sea,18791.88,73,0.192,65,0.1308,50
E06000034,Thurrock,19816.07,60,0.186,69,0.0612,92
E06000035,Medway,19523.94,64,0.189,66,0.1043,63
E06000036,Bracknell Forest,10688.01,142,0.089,142,0.0000,137
E06000037,West Berkshire,10224.15,143,0.087,143,0.0000,137
E06000038,Reading,17347.77,86,0.160,88,0.0412,105
E06000039,Slough,18051.44,79,0.147,100,0.0000,137
E06000040,Windsor and Maidenhead,7804.52,148,0.067,149,0.0000,137
E06000041,Wokingham,6241.33,150,0.056,150,0.0000,137
E06000042,Milton Keynes,16666.06,94,0.150,97,0.0461,103
E06000043,Brighton and Hove,15924.75,100,0.153,94,0.0970,71
E06000044,Portsmouth,20192.60,53,0.202,58,0.1280,53
E06000045,Southampton,20749.02,49,0.205,53,0.1284,52
E06000046,Isle of Wight,19670.42,61,0.180,74,0.0674,85
E06000047,County Durham,21524.75,38,0.222,38,0.1667,37
E06000049,Cheshire East,11561.41,137,0.107,132,0.0085,132
E06000050,Cheshire West and Chester,14843.28,107,0.145,103,0.0896,75
E06000051,Shropshire,13890.23,119,0.120,125,0.0207,117
E06000052,Cornwall,18359.27,76,0.164,84,0.0460,104
E06000053,Isles of Scilly,2485.00,151,0.032,151,0.0000,137
E06000054,Wiltshire,12060.19,134,0.102,136,0.0070,134
E06000055,Bedford,17028.94,89,0.151,96,0.0097,130
E06000056,Central Bedfordshire,13186.77,124,0.114,128,0.0127,125
E06000057,Northumberland,17014.84,90,0.174,78,0.1472,45
E06000058,"Bournemouth, Christchurch and Poole",16357.55,95,0.147,101,0.0386,108
E06000059,Dorset,14257.04,117,0.121,124,0.0183,121
E08000001,Bolton,20862.44,48,0.219,42,0.1751,34
E08000002,Bury,17087.52,88,0.169,80,0.0917,72
E08000003,Manchester,26050.67,3,0.297,7,0.3617,7
E08000004,Oldham,22607.83,25,0.233,29,0.1631,41
E08000005,Rochdale,22922.81,23,0.235,28,0.1866,32
E08000006,Salford,21932.98,35,0.241,24,0.2800,16
E08000007,Stockport,14726.44,108,0.146,102,0.0737,80
E08000008,Tameside,22005.01,31,0.223,37,0.1064,62
E08000009,Trafford,12156.61,133,0.117,127,0.0362,110
E08000010,Wigan,17441.87,84,0.174,77,0.1000,65
E08000011,Knowsley,24648.54,12,0.303,3,0.4490,2
E08000012,Liverpool,25017.61,8,0.299,4,0.4195,4
E08000013,St. Helens,21257.24,43,0.237,27,0.2521,20
E08000014,Sefton,18355.27,77,0.188,67,0.1640,40
E08000015,Wirral,19096.33,68,0.218,44,0.2330,23
E08000016,Barnsley,21954.44,33,0.225,35,0.1769,33
E08000017,Doncaster,21808.40,37,0.227,33,0.2062,27
E08000018,Rotherham,21122.87,45,0.221,39,0.1677,36
E08000019,Sheffield,19914.08,57,0.219,41,0.2174,24
E08000021,Newcastle upon Tyne,21452.54,40,0.247,20,0.3029,12
E08000022,North Tyneside,17662.42,81,0.179,75,0.1069,60
E08000023,South Tyneside,23845.24,15,0.267,13,0.3333,9
E08000024,Sunderland,22494.72,26,0.243,21,0.2595,18
E08000025,Birmingham,24902.98,10,0.276,9,0.3114,11
E08000026,Coventry,21182.62,44,0.218,43,0.1641,39
E08000027,Dudley,20127.79,55,0.206,51,0.1393,48
E08000028,Sandwell,25327.83,5,0.263,15,0.2151,26
E08000029,Solihull,14284.56,116,0.148,99,0.1493,43
E08000030,Walsall,23596.44,19,0.261,16,0.2874,15
E08000031,Wolverhampton,24946.40,9,0.271,12,0.2785,17
E08000032,Bradford,21970.65,32,0.225,34,0.1645,38
E08000033,Calderdale,19404.15,65,0.196,61,0.1250,54
E08000034,Kirklees,18705.57,74,0.177,76,0.0772,79
E08000035,Leeds,18971.19,72,0.203,56,0.1992,28
E08000036,Wakefield,20025.98,56,0.197,60,0.1005,64
E08000037,Gateshead,20239.25,51,0.204,54,0.1349,49
E09000001,City of London,7398.40,149,0.071,147,0.0000,137
E09000002,Barking and Dagenham,24727.80,11,0.238,26,0.0545,95
E09000003,Barnet,14486.14,115,0.126,117,0.0047,135
E09000004,Bexley,17481.41,83,0.160,86,0.0205,118
E09000005,Brent,20216.70,52,0.182,73,0.0405,106
E09000006,Bromley,13714.05,122,0.131,114,0.0660,89
E09000007,Camden,19570.60,62,0.193,63,0.0977,67
E09000008,Croydon,19856.54,58,0.185,70,0.0636,90
E09000009,Ealing,18645.10,75,0.166,82,0.0357,111
E09000010,Enfield,22900.69,24,0.225,36,0.0710,82
E09000011,Greenwich,22419.97,28,0.212,46,0.0662,88
E09000012,Hackney,24450.08,14,0.249,19,0.2361,22
E09000013,Hammersmith and Fulham,19070.40,70,0.186,68,0.0973,69
E09000014,Haringey,21006.94,47,0.208,49,0.1103,58
E09000015,Harrow,14725.60,109,0.123,122,0.0000,137
E09000016,Havering,17591.68,82,0.160,87,0.0333,112
E09000017,Hillingdon,18013.76,80,0.157,90,0.0124,126
E09000018,Hounslow,19223.04,66,0.170,79,0.0493,100
E09000019,Islington,25959.94,4,0.275,10,0.2927,14
E09000020,Kensington and Chelsea,12342.91,130,0.129,115,0.1068,61
E09000021,Kingston upon Thames,11890.70,135,0.100,140,0.0000,137
E09000022,Lambeth,23407.73,21,0.229,31,0.1236,55
E09000023,Lewisham,23633.93,18,0.229,30,0.1124,57
E09000024,Merton,14643.91,110,0.134,111,0.0242,116
E09000025,Newham,22333.34,29,0.201,59,0.0366,109
E09000026,Redbridge,16286.23,97,0.137,108,0.0000,137
E09000027,Richmond upon Thames,7991.16,147,0.070,148,0.0000,137
E09000028,Southwark,23755.66,16,0.241,23,0.1566,42
E09000029,Sutton,14150.79,118,0.126,118,0.0331,113
E09000030,Tower Hamlets,26272.20,1,0.266,14,0.0972,70
E09000031,Waltham Forest,21279.53,42,0.192,64,0.0556,94
E09000032,Wandsworth,16321.69,96,0.154,93,0.0838,76
E09000033,Westminster,18195.20,78,0.183,71,0.1094,59
E10000002,Buckinghamshire,9909.09,144,0.085,144,0.0000,137
E10000003,Cambridgeshire,12728.24,128,0.111,129,0.0160,124
E10000006,Cumbria,14516.43,113,0.138,107,0.0717,81
E10000007,Derbyshire,16072.13,99,0.152,95,0.0692,83
E10000008,Devon,14624.33,112,0.123,121,0.0109,128
E10000011,East Sussex,16904.35,91,0.161,85,0.0578,93
E10000012,Essex,15543.03,101,0.144,104,0.0539,96
E10000013,Gloucestershire,13872.23,120,0.126,116,0.0509,98
E10000014,Hampshire,11501.35,138,0.101,137,0.0096,131
E10000015,Hertfordshire,12814.83,126,0.111,130,0.0116,127
E10000016,Kent,16741.83,93,0.158,89,0.0787,78
E10000017,Lancashire,17189.08,87,0.167,81,0.0913,73
E10000018,Leicestershire,12274.81,131,0.106,133,0.0202,119
E10000019,Lincolnshire,17378.18,85,0.164,83,0.0976,68
E10000020,Norfolk,16868.01,92,0.155,91,0.0669,86
E10000021,Northamptonshire,15121.60,104,0.142,106,0.0521,97
E10000023,North Yorkshire,10957.30,140,0.099,141,0.0188,120
E10000024,Nottinghamshire,16242.30,98,0.155,92,0.0684,84
E10000025,Oxfordshire,11493.47,139,0.101,138,0.0098,129
E10000027,Somerset,15232.08,103,0.136,109,0.0398,107
E10000028,Staffordshire,14488.55,114,0.131,113,0.0265,115
E10000029,Suffolk,14846.58,106,0.135,110,0.0499,99
E10000030,Surrey,9562.72,145,0.083,145,0.0042,136
E10000031,Warwickshire,13601.99,123,0.122,123,0.0295,114
E10000032,West Sussex,12763.01,127,0.110,131,0.0079,133
E10000034,Worcestershire,14910.46,105,0.142,105,0.0632,91